[00:00:16.684 - 00:00:32.844] 我们继续，那个，就我们刚刚讲了这个这个格式是无条件能量稳定和一天。
[00:04:39.884 - 00:04:41.324] 凸函，凸泛函的最小的问题。
[00:04:41.724 - 00:04:43.404] 那么这个凸泛函是什么玩意呢？
[00:04:54.348 - 00:04:56.588] 嗯，这个葱蒜含。
[00:05:25.388 - 00:05:36.588] 哦，OK，我我我写个这个嗯。
[00:05:54.284 - 00:05:54.364] 嗯。
[00:05:57.644 - 00:06:03.724] 我我我写个这个我我写个证明简单的情况，这个。
[00:06:11.884 - 00:06:27.164] 这个一般的情况，一般的情况，你你自己这个可以可以推广一下，这个记等于i，那么记等于i的话，我就把这个格式就就就就就就写成一步。
[00:06:34.860 - 00:06:43.420] 我这格式就写成一步，就是等于这个，就等于拉跨，是坏工程差1000多，减掉。
[00:06:53.004 - 00:06:53.004] 嗯。
[00:06:57.676 - 00:07:05.276] 对吧，就是就是这种，那么我就定义，我定义我这个。
[00:07:08.908 - 00:07:10.348] 我对于我这个饭碗。
[00:07:12.908 - 00:07:16.268] 怎么定义定义这个泛函是这个。
[00:07:20.844 - 00:07:20.844] 嗯。
[00:07:27.308 - 00:07:32.748] 对于，因为这个斐n都是知道的，我现在只是考虑这个斐n加一，对吧？
[00:07:33.228 - 00:07:45.548] 所以我对应这一项，对应于这个这一项，所以我考虑的是是这个法，这里求导数就出来了，这个玩意。
[00:07:45.548 - 00:07:52.748] 那么对于这一项，1/2的这个归点斐的平方。
[00:07:54.636 - 00:08:22.636] 那么对于这一项，就是这个就是这个f c这个翻，然后还有剩下，剩下的就是剩下的就是这个已知项，已知项那么就是这个g，已知项我就就把它写成是g n乘上一个这个翻，那这个g n是什么东西呢？
[00:08:27.468 - 00:08:34.028] 这个积分是对所有这个东西取，取二重积分。
[00:08:34.188 - 00:08:42.988] g n 就等于 g n 就等于已知项一除上 delta t，一除上 delta t 这个斐 n。
[00:08:45.964 - 00:08:47.164] 嗯，然后。
[00:08:48.764 - 00:08:49.324] 加上。
[00:08:52.428 - 00:09:01.308] 加上这个21一平，这个范儿，现在就是这个。
[00:09:04.044 - 00:09:12.364] OK，我定义这样一个法，然后我对它求我对它求这个求变分导数。
[00:09:18.972 - 00:09:21.292] 德尔塔Q，德尔塔斐是什么玩意？
[00:09:21.452 - 00:09:44.332] 就等于这个一除上德尔塔t，这个斐，然后加上减掉这个拉普拉斯斐，然后加上这个fc一撇斐，然后减掉，就这个求导就就剩下七了，对吧？
[00:09:47.532 - 00:10:03.372] 然后你对这个东西让它在斐等于斐n加一，这就是斐n加一，这就是斐n加一，这斐n加一，你看这个东西就是。
[00:10:10.252 - 00:10:11.212] 就是这个格式的。
[00:10:14.956 - 00:10:16.236] 就是这个格式。
[00:10:21.580 - 00:10:24.220] 这个就是这个格式，是吧？
[00:10:24.220 - 00:10:29.180] 你你你这个东西等于零，这个东西等于零就是这个格式。，
[00:10:29.740 - 00:10:32.460] 这个等于零就是这个格式。
[00:10:33.100 - 00:10:33.820] 那什么意思？
[00:10:34.700 - 00:10:35.100] 什么意思？
[00:10:35.100 - 00:10:37.340] 你看这个这个泛函是个凸泛函对吧？
[00:10:37.420 - 00:10:45.900] 这个是这个是正的，这个是正的，这个是凸的，这个是线性项，求两阶导数就没有了，所以这是个凸泛函。
[00:10:46.764 - 00:10:49.564] 它的凸泛函它的最小值是什么玩意？
[00:10:49.644 - 00:10:57.981] 最小值就是就是就是它这个变分导数等于零的了，最小值就是变分导数等于零。
[00:10:58.017 - 00:11:04.044] 那你现在这个东西的解就是它的这个变分导数等于零的解。
[00:11:05.964 - 00:11:06.684] 那是什么意思？
[00:11:06.764 - 00:11:12.684] 就是说这个方程的解就是这个凸函数的这个能量最小解。
[00:11:13.676 - 00:11:19.836] 这个凸函数的那样最小值，那么它一定是一定是有唯一解，对吧？
[00:11:20.956 - 00:11:23.916] 一定是有唯一解，而且这个唯一解很好算。
[00:11:24.396 - 00:11:30.396] 不光是它有唯一解，它唯一解是一个凸函数的，是一个凸函数的这个最小值。
[00:11:30.796 - 00:11:33.356] 你想一个凸函数，那你随便从哪里走。
[00:11:34.092 - 00:11:37.452] 随便转来转去，牛顿法走个两三次它就收敛，是吧？
[00:11:38.732 - 00:11:59.772] 它它这个好处就是说这个这这个这个这个这个算法，就是说这样这个算法就是说它它比刚刚这个全隐式的格式就要好了很多，因为我们知道它随便调它可以多大，它都有它。
[00:11:59.628 - 00:12:05.948] 它都有唯一解，解一定是唯一的，而且这个唯一解是一个凸函数的这个能量最小解。
[00:12:06.508 - 00:12:15.788] 所以你用牛顿迭代，，三次就搞定了，两次三次就搞定了，因为随便你从哪里出发，两次三次它一一定走到这个地方。
[00:12:15.948 - 00:12:20.748] 你你随便几次，三次就一定走到这里。
[00:12:21.228 - 00:12:24.908] 你假如原来这个原来这个东西为什么麻烦呢？
[00:12:24.908 - 00:12:31.948] 因为这个东西它它不是凸的，不是凸的，它可能很多这个解，对吧？
[00:12:32.108 - 00:12:39.068] 很多这个解，你你你想找到这个最小能量解，你你你你。
[00:12:39.244 - 00:12:43.084] 这个这个不不一定走到，你从哪里出发，它都不一定走得到，对吧？
[00:12:43.084 - 00:12:49.324] 所以这个原全景格式比较麻烦的事情就是就是这个问题。
[00:12:50.364 - 00:12:55.644] 现在现在这样子突分裂了以后，所以这个就有这个好处。
[00:12:58.732 - 00:13:00.492] 抽风样的就睡着了。
[00:13:02.716 - 00:13:25.676] 所以这个托分列，托分列这个格式，这个在过去这个20年中，这个这个格式大概是最早大概是最早大概是在在在1993年提出来，1993年它不是叫托分列，但思想在这里，那个把它叫成托分列的大概1998年那个。
[00:13:28.060 - 00:13:32.940] ，所以所以这个这个用的非常多，因为它的好处是什么？
[00:13:32.972 - 00:13:52.380] 它的好处就是说它它像个菜谱似的，就是说随便可以应用比较广，可以应用比较广，不光是用来这个双顶模式，双顶模式它是这个是最简单的，你很复杂的模型也行，一般的这个复杂的模型，你想把它分成两个凸盘。
[00:13:52.044 - 00:14:10.604] 不含度的差，这个这个大值的这种可能性都有，所以在过去这个20年，就是说在这个用用这个突分裂这个文章，这个非常非常之多，非常非常之多，因为它这个给大家给给了大家一个菜。
[00:14:11.788 - 00:14:22.508] 给大家一个菜谱，就是说你只要能分裂，我就能够造出这个无条件能量稳定圈，这个算起来也相对简单的这个格式。
[00:14:22.988 - 00:14:23.948] 但它的毛病是什么？
[00:14:23.948 - 00:14:30.668] 它它有这个两个毛病，它两个毛病，一个毛病就是说它还是非线性。
[00:14:36.396 - 00:14:36.476] 哇。
[00:14:41.420 - 00:15:02.140] 虽然这个非线性，虽然这个非线性比原来这个非线性要好一点，有有唯一解，而且是凸函数的这个这个最小流量解，解起来稍微方便一点，但是你还是很很麻烦，你每一步要算Jacobi，要这个东西这个东西很很讨厌，这个变系数什么，对不对？
[00:15:02.140 - 00:15:08.300] 第二个就是就是很难达到高阶。
[00:15:14.076 - 00:15:14.236] 对。
[00:15:19.916 - 00:15:29.436] 很难达到二级，不光是这个，别说这个3000 4000，这个玩意就是达到二级都非常困难，就是达到二级都非常困难。
[00:15:38.156 - 00:15:47.596] 这个你要想造一个二阶格式，那就是得这个得分，跟你的这个跟你这个能量有关系。
[00:15:48.236 - 00:15:54.156] 你这个能量简单一点，说不定你就可以造出来，能量稍微复杂一点，你就造不出来。
[00:15:54.156 - 00:15:58.636] 能量稍微复杂就就造不出来，所以在在过去。
[00:15:59.020 - 00:16:11.340] ，这有不少工作就是想尽办法，对于各种不同的能量，要造出这个二阶的这个拓扑电荷数，这个就有相当大的技巧性在里头。
[00:16:11.740 - 00:16:18.780] 就是说，，你技巧性好一点，你说不定就能够对某一种东西能够造出一个二阶。
[00:16:19.340 - 00:16:24.060] 你一般的情况下，这个这个东西复杂了，你就二阶就造不出来。
[00:16:24.620 - 00:16:29.900] 只有在很少数几种这个简单的能量情况下，可以造出一个二阶。
[00:16:30.300 - 00:16:31.660] 那么，那么我就。
[00:16:32.844 - 00:16:38.284] ，给给一个例子，给一个二阶的例子。
[00:16:45.772 - 00:16:50.892] 就是这这一个只能对，只是对这个双脊模型。
[00:16:54.700 - 00:16:55.996] 这是对双解格式。
[00:16:56.140 - 00:17:13.420] 那么造二阶格式，这个最这个最最最好办的就是说这个最容易造的还是从这个夸克尼可森这个这个角度出发，还是从夸克尼可森这个角度。
[00:17:14.572 - 00:17:16.972] 这个括号的意思是什么意思呢？
[00:17:17.132 - 00:17:27.932] 是大家知道这个就是取中点，那么这里就是负的，这个6/2n加一加上六n。
[00:17:33.612 - 00:17:37.612] 然后，那么第二步怎么弄呢？
[00:17:37.612 - 00:17:47.932] 第二步也是这个二分之谬n加一加上谬n，等于这个，这个部分是比较好办的，对吧？
[00:17:52.620 - 00:17:57.260] 这个东西是这样，这个毛病是这两项怎么处理？
[00:17:59.340 - 00:18:02.540] 这两项怎么处理？
[00:18:02.540 - 00:18:05.100] 还有个这两项怎么处理？
[00:18:05.980 - 00:18:09.340] 那这两项，，我们知道，对这种情况，对这种情况的话，我的 f c。
[00:18:13.548 - 00:18:27.548] ，我的f c phi就是等于phi的四次方加上一，我的f一 phi就是我取这个1/4吧。
[00:18:31.212 - 00:18:33.772] 取这个1/4，然后。
[00:18:38.316 - 00:18:38.476] 切。
[00:18:40.268 - 00:18:57.388] 那么这里就是1/4的这个斐的四次方加上一，然后这个f一斐就是这个1/2这个斐的平方，嗯，那么。
[00:18:59.852 - 00:19:00.252] 嗯。
[00:19:02.540 - 00:19:04.940] 这里面这个，这里就。
[00:19:12.076 - 00:19:12.636] 嗯。
[00:19:16.844 - 00:19:33.484] 所以你看它这个导数，它这个这个导数就是f'一撇的话，它就是这个y的立方，那么这里这个f一一撇的话。
[00:19:34.732 - 00:19:41.772] 就是翻，这都这都非常简单，所以只是在这种简单的情况下这个好做。
[00:19:41.772 - 00:19:45.532] 那么这个这个翻的立方我怎么处理？
[00:19:46.572 - 00:19:48.972] 这个翻的立方我怎么处理？
[00:19:50.812 - 00:19:59.852] 翻的立方，翻的立方我就用我我翻的立方，就是这个东西，它就比较。
[00:20:00.000 - 00:20:05.280] 麻烦，它比较麻烦的就是说，这个这里它是这个翻的地方要这样子。
[00:20:10.444 - 00:20:36.204] 这里斐n加一的这个平方加上斐n的平方除上这个这个这个除上二除除上这是这是除上，然后再来这个斐n加加上斐n。
[00:20:37.324 - 00:20:50.284] OK，这个东西，那你看这个玩意儿是这个斐的立方，在n加1/2的一个二阶逼近嘛，对吧？
[00:20:50.764 - 00:20:51.404] 是吧？
[00:20:51.404 - 00:20:54.124] 就是说你你这个东西有很多种选择，对吧？
[00:20:54.124 - 00:21:00.364] 你你对这个东西的二阶逼近有很多种选择，那么最简单的选择，最自然的选择是这种。
[00:21:02.044 - 00:21:06.924] 但是你要用这你要用这个去写它的话，那就那就不行，就证不出来。
[00:21:07.692 - 00:21:08.332] 它是无条件的。
[00:21:10.252 - 00:21:19.852] 就最后这个造成你要要用要用要用这么一个搞法，待会你就看见你为什么要要这样子才能够出来这个。
[00:21:21.772 - 00:21:30.732] 然后那剩下这个显示的那就显示的就好说了，显示的没有没有什么这个太多选择，因为你要二阶。
[00:21:31.404 - 00:21:37.644] 你要二阶，要要外插，要显示二阶外插，那只有一种办法，对吧？
[00:21:38.124 - 00:21:45.004] 只只有一种办法，那就是1/2的这个三倍的这个斐n减掉斐n减一。
[00:21:50.508 - 00:22:04.268] 是吧，这个只有这个只有这个这个你在半n加上1/2做它的展开，二阶的格式，二阶外差只有这么一种，在半n这没有没有其他的选择。
[00:22:04.828 - 00:22:09.628] 但是那个一到非线性它的选择就非常多，对吧？
[00:22:09.948 - 00:22:16.988] 所以这个东西能做，就是因为就是因为它这个这个显示这里它没有选择，只能这么做。
[00:22:17.708 - 00:22:20.108] 我这里这个东西复杂了一点，就。
[00:22:19.980 - 00:22:25.500] 就不知道该怎么做了，就就是说你每一个都要去凑，就看见什么样的东西你你才能凑出来。
[00:22:25.500 - 00:22:28.300] 这里这个刚好，，这个就能凑出来。
[00:22:28.300 - 00:22:29.740] 这个东西为什么能够凑出来呢？
[00:22:30.380 - 00:22:39.180] 就是说你还是跟刚刚一样，你去你去怎么证明它的这个，你去证明怎么证明它的这个稳定性，无条件稳定性呢？
[00:22:39.180 - 00:22:40.460] 你这里乘上这个玩意。
[00:22:42.124 - 00:22:52.604] 你这里乘上这个玩意儿，那么第二步，第二步你要去乘上这个，你要去乘上这个二n加1-2n，对不对？
[00:22:55.244 - 00:22:56.364] 第二步你要乘上这个。
[00:22:59.948 - 00:23:21.068] OK，那你现在就可以看出来为什么我要这么取，为什么我要这么取，为什么我要这么取，就是这个东西你和这个做内积，你看这个东西先和这个东西乘就变成半n加一的平方减掉半n的平方，这个半n加一减掉半的平方再和这个东西。
[00:23:22.252 - 00:23:30.252] 做内积存在就变成斐n加一的四次方减掉斐n的四次方，就是就是你需要的东西，就是你想要的东西。
[00:23:31.132 - 00:23:34.412] 所以这个东西和这个东西做内积，你马上就得出来。
[00:23:35.612 - 00:23:44.332] 你你你从这一项你就马上得出来它的这个1/4，这个斐n加一的四次方。
[00:23:46.156 - 00:23:53.836] 要减掉这个斐n的事情，所以，所以这个和这个做内积马上就得出来你想要的东西。
[00:23:54.316 - 00:24:00.876] 麻烦的是这一项，麻烦的是这一项，这一项你希望得出来什么玩意儿？
[00:24:01.356 - 00:24:07.756] 这一项你希望得出来1/2斐n的平方减掉1/2斐n减一的平方。
[00:24:08.556 - 00:24:30.316] ，这里从这里就不是很显然可以看出来，不是很显然，所以你得你得去其他的都好，其他的这个这个和这个这其他都是标准的，就是剩下这一项要处理一下，剩下这一项要处理，那么这一项处理就是说你要稍微的这个，这这这是。
[00:24:34.668 - 00:24:42.508] 就是你要处理这一项的嘛，OK，这个因为我们后面要用，所以我也也也也也也写一下。
[00:24:46.092 - 00:24:50.732] 这个东西它是什么玩意呢？。
[00:24:57.484 - 00:25:03.004] 你把它写成这个东西，你把它写成这个斐n。
[00:25:06.252 - 00:25:21.612] OK，你借一个y n减掉y n，你把它写成这个样子，然后再减上这个y n加一减掉两倍的y n加上y n减一。
[00:25:37.932 - 00:25:41.932] OK，因为我想，因为你看，我需要什么东西？
[00:25:42.572 - 00:25:48.972] 我需要这个东西出来，犯n加一的平方减掉犯n的平方，这是我想要的。
[00:25:49.452 - 00:25:50.252] 我没有怎么办？
[00:25:50.812 - 00:25:52.652] 我没有，我得想办法给它造出来。
[00:25:53.292 - 00:26:04.652] 所以你要想造出犯n加平方减掉犯n的平方，哦，加上，加上，对，你要你要你要你要造出来，所以我要要加一个这个，减掉一个这个。
[00:26:04.652 - 00:26:08.092] 所以这个和这个一相乘，你出。
[00:26:07.340 - 00:26:11.340] 你出来就是你想要的东西，对吧？
[00:26:11.340 - 00:26:12.380] 这个就出来了，你这个。
[00:26:12.380 - 00:26:18.700] 二n加一个平方减掉二n的平方，这个就是你想要的东西。
[00:26:19.020 - 00:26:22.860] 那剩下这个玩意儿，剩下这个玩意儿你看看是什么东西？
[00:26:23.260 - 00:26:35.100] 那就是等于这个东西你又可以把它写成，这个东西你又可以把它写成二n加1-2n，减掉二n，减掉二n减一对吧？
[00:26:36.396 - 00:26:53.436] 要不然写成这个吧，然后用我们刚刚那个刚刚那个恒等式，就我们这一天到晚要用那个恒等式的，所以你最后得出来这个东西就变成减掉1/2，哎，减掉没有1/2先。
[00:26:57.964 - 00:27:25.404] 最后你变成减掉这个，哦，就就是就是减掉1/2这个斐n加一的平方，减掉这个斐n，斐n加一减斐n的平方，减掉这个斐n，减掉斐n减一的平方，加上这个斐n加一减掉两倍的斐n，加上斐n减一的平方。
[00:27:27.020 - 00:27:27.500] 哎呀。
[00:27:32.844 - 00:27:34.204] OK，那。
[00:27:40.556 - 00:27:40.556] 嗯。
[00:27:47.148 - 00:28:00.748] 所以你把这个东西都合起来，你就所以所以你把这个东西都合起来，你就所以最后你这个能量，你这个能量不是你再注意这个原来的能量，你这个。
[00:28:07.820 - 00:28:13.100] 然后你把这个整个的东西都合起来，你最后你最后是什么玩意儿？
[00:28:13.820 - 00:28:15.100] 你这里就是。
[00:28:21.212 - 00:28:34.012] 最后出来是一除上四的加上七，这个斐n加一的平方减掉斐n的平方。
[00:28:37.084 - 00:28:46.444] 然后这一项，这一项当然很简单，加上这个1/2这个。
[00:28:49.100 - 00:28:54.540] 拐点斐n加一的平方，减掉这个拐点斐n的平方。
[00:28:57.036 - 00:29:21.436] 然后剩下是这一项，这一项你出来的是，，我来讲，负的二分，这里还有前面还要乘上-1/2，所以是-1/2德尔塔 t。
[00:29:23.564 - 00:29:26.684] -1/2加到七，这个玩意儿。
[00:29:42.284 - 00:29:56.844] 然后，然后减掉剩下这个这个东西，然后就是加上，这里有个负号，加上这个一除上四的加上七。
[00:30:01.708 - 00:30:01.708] 嗯。
[00:30:10.348 - 00:30:10.348] 嗯。
[00:30:18.284 - 00:30:25.324] 然后最后是等于右端项，等于右端项，右端项就是这个位置，对吧？
[00:30:38.700 - 00:30:39.820] 嗯，接了。
[00:30:47.052 - 00:30:56.012] OK，那现在这个这个你想要，你现在这个这个东西这个东西就是什么意思？
[00:30:56.092 - 00:31:08.732] 这个东西就是你这个改进的一个一个modify的能量，一个修正的能量，减掉这个修正的这个能量，它是小于等于零。
[00:31:11.820 - 00:31:14.060] 就现在这个修正的能量是什么玩意儿呢？
[00:31:14.060 - 00:31:23.500] 这个这个修正的这个能量，它是它是一部分是跟原来的这个能量一样的是吧？
[00:31:28.588 - 00:31:29.628] 嗯嗯。
[00:31:32.316 - 00:31:33.356] 加上这个。
[00:31:44.940 - 00:31:55.980] 这里是这里是i n的四次方，然后这里是减掉两倍的i n的平方，所以这里是这个。
[00:32:03.660 - 00:32:07.660] 1/4，这个斐n加一的这个四次方。
[00:32:09.836 - 00:32:14.716] 减掉两倍的这个斐n的范范的平方。
[00:32:17.068 - 00:32:31.948] OK，这这是原来这个，这是原来的能量是这样的，原来的能量是这样的，但是你现在还多出来的，这个到底还是看在写什么，写个n加一嘛。
[00:32:37.820 - 00:32:45.420] 这是原来的这个能量，但是你现在还多出来了一部分，多出来了一部分，这，多出来的这。
[00:32:49.260 - 00:32:49.260] 嗯。
[00:32:51.500 - 00:32:51.980] 嗯。
[00:33:04.876 - 00:33:13.116] 所以在这个在这个修正的能量，就是说你加了这一项以外，它是无条件能量稳定。
[00:33:13.116 - 00:33:32.716] 那这个这种东西要加的，这个要修正这个能量，那你一到了这个二阶的格式，你就没有办法，它这个能量又要修正，就是你要用二阶外插的话，二阶外插，因为它它牵涉到这个牵涉到第牵涉到三层，所以你这个它一定是一定是包含了这个。
[00:33:33.676 - 00:33:35.196] 包含了这个这个东西在。
[00:33:41.532 - 00:33:41.692] 对。
[00:33:45.692 - 00:33:46.092] Okay.
[00:33:48.428 - 00:33:52.508] 所以这个对于对于这个东西你可以你可以照这个。
[00:34:03.820 - 00:34:05.340] 你你可以照这个。
[00:34:09.964 - 00:34:10.684] 二阶可测。
[00:34:11.484 - 00:34:13.724] 那么对于其他的呢？
[00:34:13.884 - 00:34:18.044] 其他的那就是不同的情况要不同的处理。
[00:34:18.444 - 00:34:29.164] 那么现在给大家一个一个这个给大家个问题可以考虑这个，对于刚刚我们给的例子，Facebook question。
[00:34:32.012 - 00:34:32.332] 嗯。
[00:34:39.372 - 00:34:39.372] 嗯。
[00:34:41.900 - 00:34:41.900] 嗯。
[00:34:57.644 - 00:34:59.404] Wanted to confess to be able to Christmas.
[00:35:00.812 - 00:35:07.852] 我就我就不写了，你大家前面应该抄下来了，那个那个那个能量。
[00:35:15.916 - 00:35:25.836] 我也不知道行不行，我觉得好像是应该行，你试试看，试试看这个可不可以构造构造一个二阶格式的格式。
[00:35:25.836 - 00:35:44.076] 一阶格式，一阶格式你先写个一阶，一阶格式你是就是就是这个就是这个照着这个菜单就可以写，但是但是你也把它写一写，先写个一阶格式，再看看你怎么弄个二阶格式，嗯，是不是可以搞这个二阶格式？
[00:35:45.420 - 00:35:52.620] 嗯，好，这是这是第二种，这是第二种办法，这个 convex 配点。
[00:35:55.500 - 00:35:55.500] 嗯。
[00:36:04.588 - 00:36:04.588] 嗯。
[00:36:11.276 - 00:36:28.876] OK，那下面我们就讲，我我我实在是不喜欢每一步要解这个非线性方程组，每一步解非线性方程组的这个，即使这这是个非常麻烦的事情，这是个非常麻烦的事情，首先你这个光用光。
[00:36:28.780 - 00:36:35.180] 光我这，我跟你讲的，我只给你这个拉普拉斯方程的这个解法，你就搞不定是吧？
[00:36:35.340 - 00:36:39.820] 你解高阶拉普拉斯方程搞不定，那个那那怎么办？
[00:36:40.140 - 00:36:47.980] 就是说下面一大类我要说的就是所谓的这个Stability Analysis，稳定化法。
[00:36:55.692 - 00:36:58.092] 这个稳定化方法是什么意思呢？
[00:36:58.172 - 00:37:11.052] 就是说这个也是这个数值方法里面构造数值方法里面一个很重要的概念，就很很很重要的方法，就是说你有什么东西搞不定呢，你就想办法加一点耗散项加进去。
[00:37:11.900 - 00:37:15.180] 使得它稳定一点，加一点稳定一下，就是加进去。
[00:37:15.740 - 00:37:19.820] 这个也是一个比较常用的这个常用的这个概念。
[00:37:20.140 - 00:37:34.700] 当然你加进去了，你你你当然就是有可能你就会这个会会有一些有一些这个其他的毛病在里头，但是没有办法，你你你想得到一点东西，你总得失去一点东西。
[00:37:34.668 - 00:37:37.308] 那这个稳定化方法是什么意思呢？
[00:37:38.108 - 00:37:53.948] 稳定化方法好比说，就是说我我首先考虑这个从这个从这个从这个半隐格式出发，对吧？
[00:37:58.172 - 00:38:01.052] 从这个半隐格式出发，那半隐格式是什么意思？
[00:38:01.052 - 00:38:16.092] 半隐格式就是这个半n加一减半n加到t等于负g明n加一，我从先写个简单的一阶格式，然后明n加一。
[00:38:17.388 - 00:38:27.628] 就等于这个拉帕斯的斐n加一，这个半影格式就是和这个和这个全影格式不一样的地方就是我这里。
[00:38:31.724 - 00:38:49.644] 我就用显式的，这就是所谓的这个代理的事，就是就是我刚刚最开始讲的，最开始讲的我们一般的这个处理方法，就是线性项都隐式，非线性项都显式，这就是我最。
[00:38:49.452 - 00:38:54.892] 最想达到的格式就是这种格式，但是毛病是这种格式它不稳定。
[00:38:54.892 - 00:39:03.852] 这种格式你把分项全显示处理了，它它这个不稳定，它有它是它是它是不是无条件稳定？
[00:39:03.852 - 00:39:04.172] 这人呢？
[00:39:06.572 - 00:39:08.092] Not unconditionally stable.
[00:39:15.564 - 00:39:28.364] 对吧，就是说你这个你这个时间不长，它得满足就就像这个 CFL 条件什么，你满足什么条件它才会稳定，它才会稳定，但是解起来非常简单，对吧？
[00:39:34.524 - 00:39:35.964] 但是，但是一直都烧。
[00:39:40.556 - 00:39:43.356] 所以它这个东西有优点也有缺点。
[00:39:46.444 - 00:39:54.604] 它的缺点是不是无条件稳定，就是时间步长非常小，优点是算起来非常简单，主要指线性常系数方程。
[00:39:55.164 - 00:39:59.884] 那么这个这个一个思想就是说我我。
[00:40:00.000 - 00:40:17.440] 想办法，，我想办法加上一个，加上一个稳定项的，加上一个稳定项的，那加上稳定项这个，这个有两种解释，一种解释就是，哎，哦，这个。
[00:40:26.124 - 00:40:35.164] 这个斯坦姆达这个时刻呢，就是说这个东西不稳定，我想办法让它稳定，我想办法让它稳定，想办法让它稳定，那我就加上一个什么项呢？
[00:40:39.484 - 00:40:51.244] 我就我就在这里要加上一个稳定项，加上一个稳定项，加上一个稳定项，就是说我加上一个这个s，这个斐n加一减掉斐。
[00:40:56.012 - 00:40:58.012] 我加上这么一下，在这里头。
[00:40:59.932 - 00:41:09.372] 加上这么一下，在这个里头，我希望，我希望这个东西是稳定的，我希望这个这个是稳定的。
[00:41:09.372 - 00:41:15.692] 那么这个时候，，我我怎么来解释，我怎么来解释这个事情？
[00:41:16.492 - 00:41:23.212] 我怎么来解释这个事情，就是说我现在等于说我把这个，我把这个能量。
[00:41:23.820 - 00:41:35.980] 我把这个能量我给它重写一下，我这个能量原来不是这个1/2鬼点phi的平方加上这个f phi嘛，对吧？
[00:41:37.180 - 00:41:48.940] 这是我们原来的能量，我现在把它写成这个样子，我把它写成1/2鬼点phi的平方加上这个s。
[00:41:49.036 - 00:41:59.436] y的平方，然后加上这个f y，减掉这个x y的平方。
[00:42:06.060 - 00:42:06.620] 这种可以吗？
[00:42:06.700 - 00:42:09.260] 我加一项减一项是可以的，是吧？
[00:42:09.740 - 00:42:14.220] 加一项减一项，你看这里还是线性的，这里还是线性的。
[00:42:14.860 - 00:42:21.740] 那这个格式，这个格式，这个稳定化格式，事实上就是对这个能量。
[00:42:23.260 - 00:42:24.780] 去做的这个半影格式。
[00:42:25.900 - 00:42:27.660] 对这个能量做半影格式不就出来这个吗？
[00:42:28.620 - 00:42:29.900] 所以这个也是合理的对吧？
[00:42:31.020 - 00:42:39.180] 就是说我在这个能量里面，我把这个能量写成这样子，然后我对这个能量做半影格式，就出来了这个格式。
