[00:00:00.268 - 00:00:00.268] 嗯。
[00:07:11.996 - 00:07:13.116] 傅里叶方法就什么意思呢？
[00:07:13.196 - 00:07:21.996] 傅里叶方法就是u，你把它写成这个ukj，这个一的这个ikx，一的这个ijy，对吧？
[00:07:22.636 - 00:07:30.796] 你把u，你把你的未知量写成这种形式，那么你对它取拉普拉斯的话，它这个东西。
[00:07:33.324 - 00:07:43.564] 就是你对它取了范式，这个东西就非常简单，就是k的平方加上j的平方，这个u k j，这个一的这个i k，这个是你的i k了，对吧？
[00:07:44.924 - 00:07:51.564] 所以你把这个东西带到这个方程里面去，它就不用解方程了，就是就是最简正，所以你用。
[00:07:52.876 - 00:08:11.756] 傅里叶的这个方方法去解这种方程，那就非常简单，没方程可解，只要做做两个傅里叶变换，你从这个物理点到这个上面的傅里叶变换，把这个系数除一除，再返回去做一个傅里叶变换就完了。
[00:08:12.748 - 00:08:24.588] 我会再来给大家一个这个程序，就是说周期点，这个所以因为这个比较简单，所以大家就是下面来用的时候就会就你反正想改这个程序比较方便。
[00:08:25.148 - 00:08:36.108] 另外一个程序就是有时候我们要牵涉到这个非周期边界条件，那么我们这堂课当然还有其他的边界条件有，最最常用的就是这么两种边界条件。
[00:08:36.588 - 00:08:45.308] 那么给大家一个这个一个差分，一个一个一个差分的程序，我。
[00:08:45.132 - 00:09:08.172] 我估计你们自己有有些原来有什么程序都可以用，只我只要只要你们有一个解这个泊松方程，在这个方块区上解泊泊松方程的程序，那么就行了，就是就可以满足我们这堂课所讲的这个所讲的内容的这个这个要求。
[00:09:09.612 - 00:09:15.772] 那么所以这里你看，这里这个a，在大大多情况下我们就就用弗拉卡斯。
[00:09:17.932 - 00:09:29.932] 那那这个把这个问题转换成每一步要解这个方程以后，那么你这个方程你就要一定要有一个这个快速又准确的方法，对吧？
[00:09:30.412 - 00:09:37.532] 要要这个方程你解快了，那那你剩下的就好说了，你每一步都是解这个同样的方程，那么解。
[00:09:37.436 - 00:09:38.156] 那么解了很多的方程。
[00:09:38.716 - 00:09:51.356] 那么现在最重要的事情是，你从这个方程到这种格式的时候，你希望你你，我们的我们的这个一般的。
[00:09:52.908 - 00:10:02.028] 这个做法是是尽量非线性项要隐式，我不想解这个非线性方，这样的一步，这一步不想解这个非线性方。
[00:10:02.508 - 00:10:05.708] 这这里这里就是这里是一个椭，a是一个椭圆算子。
[00:10:10.892 - 00:10:18.732] 所以，我们这一周讲的这个问题都是抛物型问题，都是抛物型问题。
[00:10:18.732 - 00:10:32.732] 苏老师前面讲的是是守恒律问题，所以它是双曲型问题，我们讲的这个问题跟他的问题一点关系都没有，是完全两个这个两个不相容的这个这个概念。
[00:10:32.812 - 00:10:45.452] 我今天要讲的是这个，所以我这里讲的办法对这个双曲型问题完全没有用，他讲的问题对这个对这个问题也完全没有用，所以两个完全完全是分开的。
[00:10:46.508 - 00:10:46.668] 那个。
[00:10:50.988 - 00:10:51.148] 嗯。
[00:10:54.348 - 00:11:02.108] ，行，那就是那就是这个就是我我我们这个方程的这个基本形式。
[00:11:02.508 - 00:11:16.748] 那么那么下面我讲一下我这几天大概怎么安排，就是我我大概从今天我就开始讲一下我们怎么做这个做这个梯度流。
[00:11:19.500 - 00:11:33.740] 760或或守恒守恒式，不是不是苏老师讲的守恒律，是是。
[00:11:37.068 - 00:11:46.268] 讲一般的这个这个玩意，那么最主要的这个例子呢，就是就是所谓的这个阿兰·卡尔和卡特里尔。
[00:11:57.164 - 00:12:06.444] 然后讲完了这个梯度流以后，我就给大家讲这个NS方程，这个时间离散。
[00:12:11.148 - 00:12:22.348] 那么有了这个以后，有了阿兰卡和卡西点，有了埃拉克斯的那那个方程的话，那么我们就可以把它们两个结合起来做这个下层模型。
[00:12:25.036 - 00:12:25.116] 哎呀。
[00:12:31.948 - 00:12:39.308] 下面这个形式，所以到最后这个相场模型我就可以做，还或者是更复杂的这个模型，相场模型。
[00:12:39.708 - 00:12:52.988] 那么就可以把对这一类方程的这个数值方法和对这类方法的数值方法结合起来，去构造对更复杂的这个这个相场模型。
[00:12:52.988 - 00:13:00.668] 相场模型，相场模型当中包括很多了，我这里所说的相场模型就是说这个多相流了。
[00:13:02.316 - 00:13:02.316] 嗯。
[00:13:09.292 - 00:13:17.612] 对多价流的这个下限影响，所以这个大致的这个大致的安排就是就是这个样子。
[00:13:19.340 - 00:13:19.340] 嗯。
[00:13:26.156 - 00:13:26.316] Hmm.
[00:13:29.964 - 00:13:30.044] Ahem.
[00:13:37.612 - 00:13:37.612] 嗯。
[00:13:42.508 - 00:13:48.748] 那么我们首先讲这个讲梯度流和这个和这个守恒守恒式方程。
[00:13:49.228 - 00:14:19.788] 那么就是说我们知道除了这个除了这个方程呢，这个我们大家平常所见的所研究的这个方程有有这么有这么几类吧，一类就是就是你从物理定律出来，，物理定律就好像动量守恒、能量守恒，这个这个什么质量守恒这一类这个方程，，像像这个应该是方程呢，或者这个苏老师讲的守恒律方程呢都都属于这一类，它是从这个基本的物理定律导出来。
[00:14:20.428 - 00:14:23.468] 还有这个一大类的这个方程呢是是什么？
[00:14:23.548 - 00:14:31.628] 它不是从这个物理基本定律导出来，它是从自由能，从自由能出发，，就说你给定一个自由能。
[00:14:32.844 - 00:14:32.924] 嗯。
[00:14:38.636 - 00:14:41.356] 这个货，货这个哈面都亮。
[00:14:46.204 - 00:14:58.844] 这个东西我假如是是是一个斐是一个未知函数，那么这个这个自由能或者哈密顿量它就是表示成这种形式。
[00:14:59.244 - 00:15:06.844] 我给大家举个最简单的例子，那么就是这个一斐，这个比较常用的就是就是你。
[00:15:14.812 - 00:15:20.012] 就是就是这么这么两项，一个线性项，一个非线性项，这个非线性势能。
[00:15:20.812 - 00:15:25.532] 你有了这样的一个自由能，那么我怎么导出这个方程呢？
[00:15:26.092 - 00:15:32.812] 好比说这个还有还有很多的问题，就是好比说你做这个做最优化，最优化什么意思？
[00:15:33.292 - 00:15:34.972] 最优化通常是你给一个能量。
[00:15:35.628 - 00:15:54.268] ，或者是给一个这个，或者是你你给一个cost function，就是说你你想你想这个，对对对一个这个函数取它的最小值或者取到最大值，那么你都是要有一个能量来描述，你你怎么样使得使得它最优，对吧？
[00:15:54.348 - 00:16:03.148] 你要都要给的一个都要给的一个能量，那么有了这个能量以后，什么是我们考虑的这个方程的这个标准形式是什么样的呢？
[00:16:03.468 - 00:16:04.748] 我们考虑的这个方程。
[00:16:06.172 - 00:16:16.492] 这里这个斐可以是标量，也可以是向量，不一定是标量，说它可能是可能是很多很多个分量，很多分量。
[00:16:17.132 - 00:16:22.652] 那我们考虑到这个 d斐 dt 就等于这个变分导数。
[00:16:26.508 - 00:16:43.548] 10000的变变分导数，所谓的梯度流就是这个是这个是这个这个能量的这个这个最大这个最大这个变化的方向，那么我去。
[00:16:43.276 - 00:16:47.836] 取这个前面加上个负的，就是这就是最速下降，对吧？
[00:16:47.836 - 00:16:49.836] 这就是最速下降。
[00:16:50.316 - 00:16:55.356] 这个就是一个简单的这个就是一个简单的一个形式的梯度流。
[00:16:55.916 - 00:17:00.956] 我让这个能量随着这个梯度下降最快的地方走。
[00:17:03.052 - 00:17:10.412] 那么这种走法就是说我这是一种走法，我还可能有多种走法。
[00:17:10.492 - 00:17:16.652] 这个山，你你从一个山上要走到这个最底下，这有很多路可以走，对不对？
[00:17:16.972 - 00:17:22.492] 有有很多路可以走，就是说你到底哪一条是最优的呢？
[00:17:22.812 - 00:17:29.132] 这个不好说，嗯，所以所以说这个物理过程也一样，它可以有很多不同的形式走。
[00:17:29.212 - 00:17:38.892] 那么这种不同的行不同的路怎么走法，我可以用另外一个算子来描述，就是说我我我我用一个大G这个算子来表示。
[00:17:40.428 - 00:17:44.188] 那么这个计算值我是什么东西呢？
[00:17:44.348 - 00:17:51.468] 这个计算值一般呢就是说我是一个正定算子。
[00:17:51.468 - 00:17:57.468] 计算值是一个正定算子，，就是它它是它要求要是一个正定算子。
[00:17:57.868 - 00:18:03.228] 既是正定的时候，这个东西就叫梯度流，这个方程就是梯度流。
[00:18:08.268 - 00:18:10.508] 这个这个这个关键时候。
[00:18:15.372 - 00:18:15.932] 就是梯度。
[00:18:17.452 - 00:18:27.452] 你最简单，g 就取这个恒等式，就取它的这个刚才我们讲的最速下降法，g 取负拉帕斯，又是另外一种下降法，对吧？
[00:18:27.452 - 00:18:39.772] g 取负拉帕斯是另外一种下降法，g 就是说这个 g 选择这个这个有很多种不同的选择，根据你问题的这个性质，你可以有有不同的选择。
[00:18:40.492 - 00:18:44.652] 那么这个 g 假如是假如是这个反对称的话。
[00:18:51.596 - 00:19:00.156] 假如这个反对称的话，那么这个就是就是哈密尔顿式，就是就是一个哈密尔顿式。
[00:19:08.844 - 00:19:13.964] OK，所以我们考虑的这个方程呢，实际上就是很大一类的方程。
[00:19:14.924 - 00:19:19.884] 那么下面我就要给大家举些例子，这个什么样的有有些什么样的例子。
[00:19:20.124 - 00:19:28.764] 那么在举例子之前，这两个方程就是这个方程它有什么样的有什么样的这个一个共性呢？
[00:19:29.324 - 00:19:32.844] 它的共性就是说我对这个两边。
[00:19:34.940 - 00:19:45.020] 我对这个两边取这个乘上这个变分导数做内积，我对这两边乘上变分导数做内积，我推出什么东西？
[00:19:47.340 - 00:19:52.060] 这个东西乘上变分导数做内积，它实际上就是什么？
[00:19:52.300 - 00:19:53.420] 它就是对。
[00:19:58.284 - 00:19:59.404] 他就是对这个。
[00:20:00.400 - 00:20:04.640] 自由能的导数，你看，对自由能的导数是什么东西？
[00:20:05.120 - 00:20:11.360] 就是这个东西，你用你用这个链式法则，它不就是先对这个东西求导嘛，对吧？
[00:20:14.080 - 00:20:16.960] 然后再对斐求求t对吧？
[00:20:19.760 - 00:20:23.120] 就是这个，所以它就等于这个右端项，右端项是什么玩意？
[00:20:23.280 - 00:20:24.720] 负的g。
[00:20:34.700 - 00:20:35.980] 就等于这个玩意对吧？
[00:20:35.980 - 00:20:41.660] 你把它推出这个，这个就是一个能量恒等式，这就是能量关系。
[00:20:42.300 - 00:20:47.660] 就导出了从这个方程你就可以导出这个方程呢，它一定满足这样这个能量关系。
[00:20:48.060 - 00:20:50.460] 那这个能量关系你看在这两种情况下。
[00:20:51.916 - 00:20:57.276] 在这个G要是正定算子的话，G正定算子它就推出什么东西？
[00:20:58.556 - 00:21:04.716] 推出这个能量是这个东西小于等于零的，能量耗散，对吧？
[00:21:05.276 - 00:21:06.156] 这是P A的。
[00:21:08.684 - 00:21:12.684] 就是能量耗散，Gibbs-Helmholtz，他就推出能量耗散。
[00:21:13.244 - 00:21:18.604] 那么，那么这个东西讲的是skill什么权，什么叫skill什么权？
[00:21:19.564 - 00:21:30.604] 这个计算是skill什么权，就是说你把这个积放到这边来，它就它就变了一个号，它就是负的，就是说这个东西和它做内积是等于零。
[00:21:31.916 - 00:21:43.276] 这个东西就等于零，所以你就推出，你就推出 d d t 这个 E 法等于零，那也就是说它是能量守恒，conservative。
[00:21:51.372 - 00:22:01.532] 那么我们做这个数值方法的这个这个就是说以什么准则来判定你这个数值方法是一个好方法？
[00:22:02.652 - 00:22:05.292] 什么准则来判断一个数值方法是好方法？
[00:22:05.612 - 00:22:07.372] 我们有三条准则对吧？
[00:22:07.692 - 00:22:13.612] 一般来讲，一个是这个这个，哎呀，做3.3。
[00:22:16.236 - 00:22:27.836] 就就是说，你希望你的这个数值格式要满足尽可能的满足这个连续方程所带来的性质，所有的性质。
[00:22:28.716 - 00:22:32.316] 那么这个就是这个等式。
[00:22:33.452 - 00:22:37.292] 就是这个连续方程最重要的性质，它有个能量关系。
[00:22:37.292 - 00:22:45.052] 就是说你造数值格式的时候，你希望你的数值格式也满足一个这样的离散关系。
[00:22:46.252 - 00:22:53.212] 满足这样的一个离散关系，就是说第一个就是要满足尽可能的，尽可能满足这个连续方程的物理性质。
[00:22:53.372 - 00:22:54.652] 嗯，对吧？
[00:22:54.652 - 00:22:56.172] 那么第二条你当然要。
[00:22:57.324 - 00:23:01.564] 这剩下的这个就是我们通常知道的快速、准确、有效，是吧？
[00:23:01.664 - 00:23:04.204] 要快速，要要要能解得快。
[00:23:04.844 - 00:23:07.564] 第二，你还得要准确，对吧？
[00:23:07.804 - 00:23:08.364] 要准确。
[00:23:08.684 - 00:23:13.244] 那第三条是最好还是比较简单，，简单。
[00:23:13.324 - 00:23:23.324] 所以这这是几个要素，就你你造这个数字格式的时候，你希望满足这么几个要素，快速、准确，还要简单。
[00:23:31.500 - 00:23:33.580] Ah.
[00:23:37.580 - 00:23:43.980] 那么我们下面就就给给一些例子，就是说我们这个有些什么例子呢？
[00:23:44.060 - 00:23:46.060] 是什么大家比较常见的例子呢？
[00:23:46.060 - 00:23:49.740] 你看这样一个方程由什么东西所确定？
[00:23:49.740 - 00:23:57.500] 有两个东西所确定，一个一自由能，一个是这个算子积，这两个东西就把这个方程所确定。
[00:23:57.980 - 00:24:03.020] 那么下面就就就就给一些例子，那么最简单的例子呢？
[00:24:05.804 - 00:24:16.604] 就是这个，就是这个吧，然后这个 g 我就取成这个恒等式。
[00:24:19.788 - 00:24:30.988] 这个这个变分导数，这个变分导数是，嗯，这个变分导数大家得得得会会求吧？
[00:24:30.988 - 00:24:38.508] 这个变分导数的定义，变分导数的定义就是变分导数是一个算子，对吧？
[00:24:38.508 - 00:24:38.828] 它的这个。
[00:24:44.140 - 00:24:46.540] 这个变分导数是是怎么定义的呢？
[00:24:46.540 - 00:25:10.220] 它就是一这个斐加上这个一乘不上，你对你把一做一个做一个这个perturbation，斐加上一乘不上，做完了以后你求导，对一求导，它在零点它就是等于这个东西，就是定义的就是就是这个。
[00:25:12.844 - 00:25:19.804] 它的变分导数，它的这个变分导数作用到不是二上。
[00:25:19.804 - 00:25:25.004] 这个反过来定义，就是说这这个这个东西是通过什么定义的？
[00:25:25.004 - 00:25:28.684] 这个东西就是你做一个perturbation，然后你不是求导。，
[00:25:31.084 - 00:25:33.404] 这是它的这个，是它的定义。
[00:25:33.964 - 00:25:39.564] 那么这里，所以这这里这个东西。
[00:25:43.788 - 00:25:56.268] 那么在，，再写一下，就是说有的时候这个方只跟这个方有关，它跟这个拐点方、拉普拉斯方没关系，那你直接求导就完了。
[00:25:56.588 - 00:26:13.228] 你看这里，像它是跟这个拉普拉斯方有关的，跟拉普拉斯方有关的时候，我这里给大家写一个这个，就是说你假如对变分导数不熟悉的话，那么你就你就记住这样子好了，假如我这个有一个一翻，对吧？
[00:26:14.124 - 00:26:27.084] 我有个一翻，它它假如是不光是翻的函数，它也是这个翻和gradient翻，或者有有时候更是拉帕斯翻什么玩意的都有。
[00:26:27.404 - 00:26:32.844] 就我现在说简单的情况，它假如又是翻的函数，又是gradient翻的函数，那么。
[00:26:33.516 - 00:26:42.156] 我我我把它这两个，我把这两个变量分开，phi是一个变量，gradient phi是一个变量，所以我给它叫成另外一个函数。
[00:26:42.156 - 00:26:48.316] 那么这个时候你怎么怎么求这个变分导数？
[00:26:48.316 - 00:26:49.916] 怎么求这个变分导数？
[00:26:49.996 - 00:27:03.916] 就是就是说你对这个对这两个变量求分别求，对第一个，对这个第二个变量你就是出来，因为有这个gradient，它的这个它的这个共轭算子就是就是。
[00:27:03.724 - 00:27:24.364] 就是负的导数减去，然后这里是这个，那个你你对这个一贴它，对这个轨点白这一项，对轨点白这一项求求导数，然后加上这个。
[00:27:27.052 - 00:27:28.332] 对这个，对这个fashion的。
[00:27:36.140 - 00:27:48.940] OK，这这这这个公式就就就是对对这种来，你假如后面有拉阿斯翻的话，那你再加上这个，你你再加上这个拉普拉斯的。
[00:27:49.820 - 00:27:54.300] 那么你好比说你现在从这里看，，这个东西跟翻没有关系。
[00:27:55.052 - 00:28:01.772] 假如你把它看成一个方和拐点，反正跟方没有关系，只对只对这个拐点方有关系。
[00:28:02.092 - 00:28:16.092] 所以你按照那个东西的话，它就等于负的这个德尔塔，然后对它是这个拐点方的平方，你求导数就出来，两倍的拐点方，两倍的拐点方。
[00:28:19.564 - 00:28:25.644] 好，所以这个是这一项它的变分导数就这就是这就是什么？
[00:28:25.644 - 00:28:31.404] 拐弯就是拐点就是拉普拉斯算子，这个就是拉普拉斯算子。
[00:28:32.044 - 00:28:35.324] 然后你推出来这个方程，那这个方程是什么玩意？
[00:28:35.564 - 00:28:36.604] 这个方程就是。
[00:28:39.276 - 00:28:49.996] 就是这个，然后 j 又等于 i，然后前面一个负号消掉，你就出来这个是热传导方程，我还有非线性项。
[00:28:53.708 - 00:28:54.348] 呜呜哭的。
[00:28:58.316 - 00:29:05.756] 这个f，这个f就是一个一个非线性，跟f有关的这个非线性函数，对吧？
[00:29:06.476 - 00:29:09.636] 用的是非线性函数。
[00:29:09.836 - 00:29:15.916] 那么，那么这里这里这个这个f的这个最最常用的例子是什么玩意呢？
[00:29:15.996 - 00:29:18.156] 最常用的例子就是就是双景。
[00:29:19.564 - 00:29:20.684] 双点势能对吧？
[00:29:20.844 - 00:29:23.084] 就前面的例子，它就是一个双点势能。
[00:29:23.084 - 00:29:25.324] 当然不一定是这个，其他的也行。
[00:29:25.324 - 00:29:35.324] 这个我我实际上，我我们要考虑的是一个是一个这个随意的这个非线性，非线性势能都行。
[00:29:36.044 - 00:29:39.244] 那么对这种情况的话，那你得出来就是。
[00:29:41.964 - 00:29:45.084] 对第一下球就是出来拉巴斯翻对吧？
[00:29:45.404 - 00:29:52.604] 对第二下，第二下你就是它跟拐点还没有关系了，那就直接的了，直接球打过来对吧？
[00:29:55.724 - 00:30:07.884] 所以，哦，这是这这个这是这个嘛，那么你推出来的这个方程，那就是 d phi d t，，这里你看 g 取什么东西？
[00:30:08.284 - 00:30:20.204] 你你假如这个 g 还取 i 的话，你假如 g 还取 i 的话，那么你就你就得出来是这里是拉普拉斯 phi 减掉这个 f 一撇 phi 对吧？
[00:30:22.540 - 00:30:38.780] 就得出这个方程，那么这个方程就是通常这个这这个就是这个对于这种双脊模式的话，它就是所谓的这个阿兰抗方程，这是所谓的这个阿兰抗。
[00:30:42.380 - 00:30:42.380] 嗯。
[00:30:49.804 - 00:30:49.884] 嗯。
[00:30:56.972 - 00:31:07.532] 你假如你你假如这个g取上g取上负拉普拉斯的话，g取上负拉普拉斯的话，那这个方程就叫什么？
[00:31:08.012 - 00:31:19.692] g取上负拉普拉斯就等于前面再加这个负拉普拉斯这个，你就推出这个d八d七等于这个负拉普拉斯的这个这个拉普拉斯算，这个s。
[00:31:23.116 - 00:31:23.276] 对吧？
[00:31:23.676 - 00:31:28.076] 这个是这是这个话题，那么这个就是所谓的这个卡西点。
[00:31:32.332 - 00:31:36.332] 你所谓的这个感情。
[00:31:51.340 - 00:32:03.340] 这是这是这是梯度流，那你当然你还可以还可以很复杂的嘛，你这个你这个这个这个东西可以可以搞得很复杂。
[00:32:04.140 - 00:32:14.860] 嗯，你好比说这个你好比说这个有有有的时候你可以取这个一八，可以比这个复杂的多，那么它可以是什么样的情况呢？
[00:32:14.860 - 00:32:15.820] 它可以是这个。
[00:32:18.572 - 00:32:34.732] 斐的四次方加上二分之阿尔法斐的平方，减掉这个，它这个能量里面还可以有负的项，包括加上这个1/2。
[00:32:37.612 - 00:32:51.421] 所以呢，反，那么它是这样的，那么是这样的，那么，那么这个时候它的这个，就变成这个能量是什么？
[00:32:51.532 - 00:32:57.932] 这个这个能量就是这个这个所谓的这个face bill，face bill的crystal。
[00:33:04.140 - 00:33:26.540] 这是个 crystal，这个它的能量，那你对它对它这个求导，求变分导数，第一项求变分导数你就得出来斐的立方，对第二项求导数就得出二斐翻，对第三项这个求导数这里已经有个负号，所以你出来的是这个加上两倍的拉普拉斯翻。
[00:33:27.564 - 00:33:27.804] 对吧？
[00:33:28.444 - 00:33:38.364] 那么对这个东西，对这个东西求导，我这里没有写，这里这里这里没有写这个拉普拉斯，现在是跟这个拉普拉斯有关的。
[00:33:38.444 - 00:33:47.884] 你假如这里是跟拉拉普拉斯有关的话，你再加那个拉普拉斯，你就你这个还可以加上这个拉普拉斯，对吧？
[00:33:48.764 - 00:33:56.524] 它跟拉普拉斯有关的话，那那这个前面你还能加这个拉普拉斯的项，就是拉普拉斯这个德尔塔一偏塔。
[00:33:58.924 - 00:34:00.364] 在搞这个大超市的。
[00:34:06.460 - 00:34:15.260] 那这里就出来这个加上这个求求导数，这个两倍的没有了，就剩下这个拉普拉斯，再一个拉普拉斯就拉普拉斯的平方块。
[00:34:19.628 - 00:34:42.828] 然后你看，，这个最后它，你带进这个方程，你取 g，你假如 g 这个时候呢它的 g 是取负拉普拉斯，你就看你就得出这个，让它一代到 y，要等于这个负的拉普拉斯，，就是正的拉普拉斯嘛，负正的拉普拉斯，然后这个玩意，这么一串。
[00:34:44.908 - 00:34:45.708] 咳咳。
[00:34:50.828 - 00:34:53.388] 这个就是所谓的这个Bethe-Salpeter方程。
[00:34:53.868 - 00:34:58.988] 那么你看这个方程它就它就比较复杂，它牵涉到六阶导数，对吧？
[00:34:59.868 - 00:35:02.508] 拉帕斯的三次方牵涉到六阶。
[00:35:02.508 - 00:35:10.828] OK，这些这些都是这个基都是。
[00:35:11.596 - 00:35:20.796] G都是这个都是正定算子，那么下面举一个例子，是G是这个G是这个反对称的算子。
[00:35:25.036 - 00:35:27.676] 就是把对称的算子，那这个是什么呢？
[00:35:27.676 - 00:35:29.676] 就是说我，我取这个一方。
[00:35:33.292 - 00:35:34.572] 还是等于。
[00:35:42.796 - 00:35:45.516] 然后加上这个1/2。
[00:35:47.980 - 00:35:51.260] 这个f f是一个函数，然后。
[00:35:54.252 - 00:36:09.132] 这个时候这个斐是一个复，斐是一个这个复函数，斐是一个复函数，不是一个实函数，斐是个复函数，所以我取绝对值的平方，那么这是它的能量，那么这时候计算值我取什么呢？
[00:36:09.292 - 00:36:20.172] 计算值我就取这个虚数，取这个取这个取这个虚数，那么你这个时候你就求它的变分导数。
[00:36:25.004 - 00:36:30.844] 求它的变分导数，就出来这个负的拉普拉斯算子，然后加上这个。
[00:36:33.996 - 00:36:35.436] 加上这个f一撇。
[00:36:37.868 - 00:36:37.868] 嗯。
[00:36:43.500 - 00:36:43.660] 嗯。
[00:36:51.916 - 00:36:54.636] 然后在成长，，发展成长，是吧？
[00:36:54.636 - 00:36:57.676] 这是它的这个变分导数。
[00:36:58.156 - 00:37:03.276] 然后你这个g等于这个i，最后你这个方程就出来是什么？
[00:37:03.436 - 00:37:17.036] d d phi d t就等于负的i，负的拉帕斯i加上这个f一撇，这个phi的平方，这个这个phi，是吧？
[00:37:17.196 - 00:37:18.156] 就就出来这种。
[00:37:19.116 - 00:37:19.996] 你假如取。
[00:37:23.500 - 00:37:43.340] 你假如取这个f，，这个f函数，你就让它等于负三的平方的话，就就等于就等于负三的平方的话，那你那你这个方程就就得出来是什么玩意，就得出来这个负i。
[00:37:45.132 - 00:37:48.012] 负i，你把它放到这边来，就变成了i。
